medical record number	x
mrn	x
mr	x
mr no	x
PATIENT MEDICAL RECORD NUMBER	x
patient medical record number	x
mr num	x
mr#	x
mr	x
mrn	x
identifying information	10186-5
identify information	10186-5
patient info	10186-5
patient identification	10186-5
identification	10186-5
identifying data	10186-5
identify data	10186-5
identifying_information	10186-5
diet	11320-9
feeding and dietary status	11320-9
feeding dietary status	11320-9
nutrition	11320-9
dietary	11320-9
eating habits	11320-9
eat habit	11320-9
diet	11320-9
identifying data/chief complaint	29299-5
identify data chief complaint	29299-5
reason for admission	29299-5
reason admission	29299-5
chief_complaint	29299-5
chief concern	29299-5
reason for hospitalization	29299-5
reason hospitalization	29299-5
id/cc	29299-5
id cc	29299-5
reason for visit	29299-5
reason visit	29299-5
cc	29299-5
here for a chief complaint of	29299-5
here a chief complaint	29299-5
identification/chief complaint	29299-5
identification chief complaint	29299-5
identification and chief complaint	29299-5
identification chief complaint	29299-5
chief complaint	29299-5
reason for admission and consultation	29299-5
reason admission consultation	29299-5
reason for admission/chief complaint	29299-5
reason for admission chief complaint	29299-5
reason admission chief complaint	29299-5
hpi/interval history	10164-2
hpi interval history	10164-2
patient hpi	10164-2
summary of present illness	10164-2
summary present illness	10164-2
history/physical examination	10164-2
history physical examination	10164-2
clinical history	10164-2
present illness	10164-2
indication	10164-2
hpi	10164-2
in clinical history	10164-2
clinical history	10164-2
clinical history/indications	10164-2
clinical history indication	10164-2
issues briefly as following	10164-2
issue briefly as following	10164-2
history	10164-2
current medical problems	10164-2
current medical problem	10164-2
indications	10164-2
indication	10164-2
patient history	10164-2
history of chronic illness	10164-2
history chronic illness	10164-2
clinical presentation	10164-2
history of present illness	10164-2
history present illness	10164-2
issues briefly as follows	10164-2
issue briefly as follow	10164-2
clinical indication	10164-2
history_present_illness	10164-2
history of the present illness	10164-2
history present illness	10164-2
interval history	10164-2
history present illness	10164-2
pain_temporal_pattern	38206-9
pain temporal pattern	38206-9
pain_alleviating_factors	38210-1
pain alleviating factors	38210-1
pain alleviate factor	38210-1
pain initiating event	38211-9
pain initiate event	38211-9
pain_initiating_event	38211-9
personal history	10166-7
soc history	10166-7
social history	10166-7
psychosocial history	10166-7
pso	10166-7
shx	10166-7
pshx	10166-7
history of other social factors	10166-7
history of other social factor	10166-7
history other social factor	10166-7
personal_and_social_history	10166-7
history of social function	10166-7
history social function	10166-7
personal and social history	10166-7
personal social history	10166-7
personal history	29762-2
soc history	29762-2
social history	29762-2
psychosocial history	29762-2
pso	29762-2
shx	29762-2
pshx	29762-2
history of other social factors	29762-2
history of other social factor	29762-2
history other social factor	29762-2
personal_and_social_history	29762-2
history of social function	29762-2
history social function	29762-2
personal and social history	29762-2
personal social history	29762-2
current employment	11294-6
employment	11294-6
work	11294-6
history of occupation	11294-6
history occupation	11294-6
employer	11294-6
occupational history	11294-6
occupation	11294-6
Occupational History	11294-6
occupational history	11294-6
occupational_history	11294-6
current employment	11340-7
employment	11340-7
work	11340-7
history of occupation	11340-7
history occupation	11340-7
employer	11340-7
